id,name,address,roadAddress,displayCode,displayName,city_id,city_name,point_x,point_y,routeType_id,routeType_name,transfers,,,자치구_코드_명,면적(km²),지하철역_수,지하철역_밀도(개/km²)
50117,양동시장,광주광역시 서구 양동 304-3,광주광역시 서구 경열로 152,107,양동시장역,5000,광주,126.9013211,35.1543347,51,1호선,,,,,,,
30110,탄방,대전광역시 서구 탄방동 1449,대전광역시 서구 문정로 48번길 19,110,탄방역,3000,대전,127.3846035,36.3455669,31,1호선,,,,,,,
114,도봉산,서울특별시 도봉구 도봉동 18-1,서울특별시 도봉구 도봉로 964-33,113,도봉산역,1000,서울,127.046063,37.6895524,1,1호선,710,,,,,,
11003,범골,경기도 의정부시 호원동 326-24,경기도 의정부시 신흥로 141,U112,범골역,1000,서울,127.043664,37.7287961,110,의정부경전철,,,,,,,
11001,발곡,경기도 의정부시 신곡동 741-3,경기도 의정부시 장곡로 258,U110,발곡역,1000,서울,127.0529099,37.7269917,110,의정부경전철,,,,,,,
70121,양정,부산광역시 부산진구 양정동 408,부산광역시 부산진구 중앙대로 930,121,양정역,7000,부산,129.0713293,35.1731283,71,1호선,,,,,,,
70306,거제,부산광역시 연제구 거제동 1190-1,부산광역시 연제구 월드컵대로 209,306,거제역,7000,부산,129.0738787,35.1885603,73,3호선,70823,,,,,,
70304,물만골,부산광역시 연제구 연산동 1515-11,부산광역시 연제구 월드컵대로 23,304,물만골역,7000,부산,129.0858474,35.1764706,73,3호선,,,,,,,
70826,안락,부산광역시 동래구 안락동 201-2,부산광역시 동래구 안연로98번길 57,K115,안락역,7000,부산,129.1006169,35.1960282,78,동해선,,,,,,,
70822,거제해맞이,부산광역시 연제구 거제동 619-1,부산광역시 연제구 거제대로 123,K111,거제해맞이역,7000,부산,129.0690216,35.1812629,78,동해선,,,,,,,
70405,충렬사,부산광역시 동래구 안락동 473,부산광역시 동래구 반송로 205,405,충렬사역,7000,부산,129.0976121,35.1998624,74,4호선,,,,,,,
70310,만덕,부산광역시 북구 만덕동 607-1,부산광역시 북구 만덕대로 291,310,만덕역,7000,부산,129.0363748,35.2129761,73,3호선,,,,,,,
70308,사직,부산광역시 동래구 사직동 161-1,부산광역시 동래구 아시아드대로 153,308,사직역,7000,부산,129.0651954,35.1985838,73,3호선,,,,,,,
40133,칠성시장,대구광역시 북구 칠성동1가 278-1,대구광역시 북구 칠성남로 222,133,칠성시장역,4000,대구,128.6051253,35.8761309,41,1호선,,,,,,,
50116,금남로5가,광주광역시 북구 북동 299,광주광역시 북구 금남로 138,106,금남로5가역,5000,광주,126.9100239,35.1537233,51,1호선,,,,,,,
30109,용문,대전광역시 서구 용문동 262,대전광역시 서구 계룡로 644,109,용문역,3000,대전,127.3932908,36.3382659,31,1호선,,,,,,,
115,도봉,서울특별시 도봉구 도봉동 639,서울특별시 도봉구 도봉로 170길 2,114,도봉역,1000,서울,127.0454881,37.67912,1,1호선,,,,,,,
710,도봉산,서울특별시 도봉구 도봉동 38-3,서울특별시 도봉구 도봉로 964-40,710,도봉산역,1000,서울,127.0464866,37.6895103,7,7호선,114,,,,,,
11004,경전철의정부,경기도 의정부시 의정부동 691,경기도 의정부시 신흥로 237,U113,경전철의정부역,1000,서울,127.043317,37.7372914,110,의정부경전철,,,,,,,
70120,부전,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 786,120,부전역,7000,부산,129.0629534,35.1625392,71,1호선,,,,,,,
70307,종합운동장,부산광역시 연제구 거제동 1191-2,부산광역시 연제구 아시아드대로 73,307,종합운동장역,7000,부산,129.0677388,35.1911044,73,3호선,,,,,,,
70303,배산,부산광역시 연제구 연산동 1805-3,부산광역시 연제구 연수로 229,303,배산역,7000,부산,129.0954981,35.1735061,73,3호선,,,,,,,
70827,부산원동,부산광역시 동래구 안락동 52-2,,K116,부산원동역,7000,부산,129.114302,35.1936164,78,동해선,,,,,,,
70821,부전,부산광역시 부산진구 부전동 280-76,부산광역시 부산진구 부전로 181,K110,부전역,7000,부산,129.0601537,35.1645283,78,동해선,,,,,,,
70406,명장,부산광역시 동래구 명장동 184,부산광역시 동래구 반송로 281,406,명장역,7000,부산,129.1017177,35.2051807,74,4호선,,,,,,,
70311,남산정,부산광역시 북구 만덕동 706-6,부산광역시 북구 만덕대로 179,311,남산정역,7000,부산,129.0239997,35.2133311,73,3호선,,,,,,,
40132,대구역,대구광역시 북구 칠성동 302-94,대구광역시 북구 칠성남로 30길 24,132,대구역,4000,대구,128.5970668,35.8763289,41,1호선,,,,,,,
50115,금남로4가,광주광역시 동구 금남로4가 105,광주광역시 동구 금남로 210,105,금남로4가역,5000,광주,126.9144513,35.1507902,51,1호선,,,,,,,
30108,오룡,대전광역시 중구 오류동 195,대전광역시 중구 계룡로 793,108,오룡역,3000,대전,127.4050501,36.32857,31,1호선,,,,,,,
116,방학,서울특별시 도봉구 방학동 728,서울특별시 도봉구 도봉로 150다길 3,115,방학역,1000,서울,127.0443571,37.6674005,1,1호선,,,,,,,
711,수락산,서울특별시 노원구 상계동 1132-9,서울특별시 노원구 동일로 1662,711,수락산역,1000,서울,127.055316,37.6778581,7,7호선,,,,,,,
709,장암,경기도 의정부시 장암동 160-8,경기도 의정부시 동일로 121,709,장암역,1000,서울,127.0531004,37.7002605,7,7호선,,,,,,,
11005,의정부시청,경기도 의정부시 의정부동 617,경기도 의정부시 의정로 69,U114,의정부시청역,1000,서울,127.0348665,37.7392416,110,의정부경전철,,,,,,,
70119,서면,부산광역시 부산진구 부전동 573-1,부산광역시 부산진구 중앙대로 730,119,서면역,7000,부산,129.0593853,35.1580979,71,1호선,70219,,,,,,
70302,망미,부산광역시 수영구 망미동 603-2,부산광역시 수영구 연수로 337,302,망미역,7000,부산,129.1081299,35.1715665,73,3호선,,,,,,,
70828,재송,부산광역시 해운대구 재송동 909-2,부산광역시 해운대구 해운대로 100,K117,재송역,7000,부산,129.1200713,35.1880829,78,동해선,,,,,,,
70407,서동,부산광역시 금정구 서동 241,부산광역시 금정구 반송로 387,407,서동역,7000,부산,129.1075182,35.2131611,74,4호선,,,,,,,
70312,숙등,부산광역시 북구 덕천동 462,부산광역시 북구 만덕대로 79,312,숙등역,7000,부산,129.0132983,35.2121115,73,3호선,,,,,,,
40131,중앙로,대구광역시 중구 남일동 143-1,대구광역시 중구 중앙대로 424,131,중앙로역,4000,대구,128.5939836,35.8709005,41,1호선,,,,,,,
50114,문화전당,광주광역시 동구 광산동 13,광주광역시 동구 문화전당로 26번길 7,104,문화전당역,5000,광주,126.9200042,35.1464349,51,1호선,,,,,,,
30107,서대전네거리,대전광역시 중구 용두동 155,대전광역시 중구 계룡로 889,107,서대전네거리역,3000,대전,127.4125249,36.3224172,31,1호선,,,,,,,
117,창동,서울특별시 도봉구 창동 135-1,서울특별시 도봉구 마들로 11길 77,116,창동역,1000,서울,127.0479449,37.6527595,1,1호선,412,,,,,,
712,마들,서울특별시 노원구 상계동 650,서울특별시 노원구 동일로 1530-1,712,마들역,1000,서울,127.0576351,37.6653828,7,7호선,,,,,,,
